filename|entry_date|entry_timestamp|book|chapter|verse
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:31:26|Wed 1 Jan 2014 00:31:26|1Timothy|4|1
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:31:57|Wed 1 Jan 2014 00:31:57|1Timothy|4|1
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:34:19|Wed 1 Jan 2014 00:34:19|Acts|14|22
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:34:22|Wed 1 Jan 2014 00:34:22|Acts|14|23
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:34:41|Wed 1 Jan 2014 00:34:41|Philippians|1|29
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:34:47|Wed 1 Jan 2014 00:34:47|2Timothy|3|12
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:37:48|Wed 1 Jan 2014 00:37:48|Galatians|6|8
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:38:20|Wed 1 Jan 2014 00:38:20|Proverbs|1|3
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:38:59|Wed 1 Jan 2014 00:38:59|Proverbs|1|3
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:38:59|Wed 1 Jan 2014 00:38:59|Proverbs|1|4
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:39:23|Wed 1 Jan 2014 00:39:23|Romans|16|17
